root@autodl-container-1gcj1rxds4-d7bef2bf:~/Code# python main.py --alg qsgd --dataset cifar --iid 0 --alpha 0.1 --epochs 400 --gpu 0
Files already downloaded and verified
Files already downloaded and verified
Load dataset: cifar | Train set: 50000, Test set: 10000, Clients: 100
Model: cnn, Params: 2,777,674
Experiment Setup: Algorithm=qsgd, Dataset=cifar(Non-IID), Model=cnn, Epochs=400, Clients=100(10%), Local Epochs=5
QSGD Config: Quantization Bits=8
Other Configs: EMA=Off, Device=cuda:0, Optimizer=sgd, LR=0.001, Seed=42
[Cold Start] Initial model distribution: 1086790.6KB, Cumulative: 1086790.6KB
Round 1: TestAcc: 10.02%, TestLoss: 2.3963, TrainAcc: 81.96%, TrainLoss: 1.3459, Comm: 27173.7KB, Cum: 1113964.3KB, Time: 22.7s                                               
Round 2: TestAcc: 12.04%, TestLoss: 2.3397, TrainAcc: 82.73%, TrainLoss: 1.2082, Comm: 1113964.3KB, Cum: 2227928.6KB, Time: 18.4s                                             
Round 3: TestAcc: 14.93%, TestLoss: 2.3141, TrainAcc: 75.07%, TrainLoss: 1.2679, Comm: 1113964.3KB, Cum: 3341892.8KB, Time: 17.0s                                             
Round 4: TestAcc: 14.63%, TestLoss: 2.2535, TrainAcc: 84.74%, TrainLoss: 1.1841, Comm: 1113964.3KB, Cum: 4455857.1KB, Time: 17.3s                                             
Round 5: TestAcc: 18.07%, TestLoss: 2.2857, TrainAcc: 81.90%, TrainLoss: 1.1735, Comm: 1113964.3KB, Cum: 5569821.4KB, Time: 17.1s                                             
Round 6: TestAcc: 18.58%, TestLoss: 2.2623, TrainAcc: 81.96%, TrainLoss: 1.2091, Comm: 1113964.3KB, Cum: 6683785.7KB, Time: 33.2s                                             
Round 7: TestAcc: 19.25%, TestLoss: 2.2159, TrainAcc: 82.87%, TrainLoss: 1.3180, Comm: 1113964.3KB, Cum: 7797749.9KB, Time: 33.6s                                             
Round 8: TestAcc: 16.04%, TestLoss: 2.2501, TrainAcc: 86.05%, TrainLoss: 1.0833, Comm: 1113964.3KB, Cum: 8911714.2KB, Time: 36.8s                                             
Round 9: TestAcc: 19.73%, TestLoss: 2.1450, TrainAcc: 79.17%, TrainLoss: 1.4025, Comm: 1113964.3KB, Cum: 10025678.5KB, Time: 29.5s                                            
Round 10: TestAcc: 20.63%, TestLoss: 2.1298, TrainAcc: 83.86%, TrainLoss: 1.1841, Comm: 1113964.3KB, Cum: 11139642.8KB, Time: 33.4s                                           
Round 11: TestAcc: 18.78%, TestLoss: 2.1674, TrainAcc: 83.08%, TrainLoss: 1.2482, Comm: 1113964.3KB, Cum: 12253607.1KB, Time: 30.7s                                           
Round 12: TestAcc: 21.04%, TestLoss: 2.0926, TrainAcc: 78.75%, TrainLoss: 1.2927, Comm: 1113964.3KB, Cum: 13367571.3KB, Time: 32.4s                                           
Round 13: TestAcc: 16.83%, TestLoss: 2.1985, TrainAcc: 79.50%, TrainLoss: 1.4021, Comm: 1113964.3KB, Cum: 14481535.6KB, Time: 28.3s                                           
Round 14: TestAcc: 19.53%, TestLoss: 2.1241, TrainAcc: 85.57%, TrainLoss: 1.1178, Comm: 1113964.3KB, Cum: 15595499.9KB, Time: 34.6s                                           
Round 15: TestAcc: 22.71%, TestLoss: 2.0486, TrainAcc: 82.88%, TrainLoss: 1.2457, Comm: 1113964.3KB, Cum: 16709464.2KB, Time: 32.4s                                           
Round 16: TestAcc: 19.40%, TestLoss: 2.1514, TrainAcc: 84.05%, TrainLoss: 1.1188, Comm: 1113964.3KB, Cum: 17823428.4KB, Time: 32.4s                                           
Round 17: TestAcc: 21.07%, TestLoss: 2.1115, TrainAcc: 83.51%, TrainLoss: 1.3785, Comm: 1113964.3KB, Cum: 18937392.7KB, Time: 30.5s                                           
Round 18: TestAcc: 19.17%, TestLoss: 2.1222, TrainAcc: 89.27%, TrainLoss: 1.0786, Comm: 1113964.3KB, Cum: 20051357.0KB, Time: 35.8s                                           
Round 19: TestAcc: 13.78%, TestLoss: 2.4606, TrainAcc: 88.03%, TrainLoss: 0.9921, Comm: 1113964.3KB, Cum: 21165321.3KB, Time: 35.7s                                           
Round 20: TestAcc: 23.93%, TestLoss: 2.0853, TrainAcc: 74.88%, TrainLoss: 1.4373, Comm: 1113964.3KB, Cum: 22279285.5KB, Time: 33.6s                                           
Round 21: TestAcc: 19.09%, TestLoss: 2.1802, TrainAcc: 88.89%, TrainLoss: 1.0278, Comm: 1113964.3KB, Cum: 23393249.8KB, Time: 32.8s                                           
Round 22: TestAcc: 24.96%, TestLoss: 2.0247, TrainAcc: 80.91%, TrainLoss: 1.3182, Comm: 1113964.3KB, Cum: 24507214.1KB, Time: 33.7s                                           
Round 23: TestAcc: 18.35%, TestLoss: 2.1519, TrainAcc: 89.29%, TrainLoss: 1.0153, Comm: 1113964.3KB, Cum: 25621178.4KB, Time: 34.5s                                           
Round 24: TestAcc: 22.37%, TestLoss: 2.1100, TrainAcc: 83.83%, TrainLoss: 1.2820, Comm: 1113964.3KB, Cum: 26735142.7KB, Time: 33.7s                                           
Round 25: TestAcc: 21.35%, TestLoss: 2.1484, TrainAcc: 88.80%, TrainLoss: 0.9769, Comm: 1113964.3KB, Cum: 27849106.9KB, Time: 34.8s                                           
Round 26: TestAcc: 25.21%, TestLoss: 2.0272, TrainAcc: 87.27%, TrainLoss: 1.0790, Comm: 1113964.3KB, Cum: 28963071.2KB, Time: 35.4s                                           
Round 27: TestAcc: 20.20%, TestLoss: 2.1182, TrainAcc: 87.90%, TrainLoss: 0.9928, Comm: 1113964.3KB, Cum: 30077035.5KB, Time: 32.7s                                           
Round 28: TestAcc: 27.87%, TestLoss: 1.9263, TrainAcc: 81.01%, TrainLoss: 1.3259, Comm: 1113964.3KB, Cum: 31190999.8KB, Time: 33.7s                                           
Round 29: TestAcc: 21.50%, TestLoss: 2.0166, TrainAcc: 88.96%, TrainLoss: 1.0886, Comm: 1113964.3KB, Cum: 32304964.0KB, Time: 30.7s                                           
Round 30: TestAcc: 24.56%, TestLoss: 2.0025, TrainAcc: 86.20%, TrainLoss: 1.1223, Comm: 1113964.3KB, Cum: 33418928.3KB, Time: 33.8s                                           
Round 31: TestAcc: 19.63%, TestLoss: 2.0755, TrainAcc: 86.39%, TrainLoss: 1.0527, Comm: 1113964.3KB, Cum: 34532892.6KB, Time: 33.7s                                           
Round 32: TestAcc: 20.97%, TestLoss: 2.0113, TrainAcc: 85.39%, TrainLoss: 1.0645, Comm: 1113964.3KB, Cum: 35646856.9KB, Time: 35.2s                                           
Round 33: TestAcc: 29.90%, TestLoss: 1.8939, TrainAcc: 79.60%, TrainLoss: 1.2123, Comm: 1113964.3KB, Cum: 36760821.2KB, Time: 33.1s                                           
Round 34: TestAcc: 25.68%, TestLoss: 2.0684, TrainAcc: 83.88%, TrainLoss: 1.1656, Comm: 1113964.3KB, Cum: 37874785.4KB, Time: 33.5s                                           
Round 35: TestAcc: 20.84%, TestLoss: 2.0800, TrainAcc: 86.61%, TrainLoss: 1.1619, Comm: 1113964.3KB, Cum: 38988749.7KB, Time: 34.3s                                           
Round 36: TestAcc: 20.15%, TestLoss: 2.0770, TrainAcc: 90.71%, TrainLoss: 1.0014, Comm: 1113964.3KB, Cum: 40102714.0KB, Time: 33.5s                                           
Round 37: TestAcc: 25.39%, TestLoss: 1.9777, TrainAcc: 84.70%, TrainLoss: 1.1839, Comm: 1113964.3KB, Cum: 41216678.3KB, Time: 32.6s                                           
Round 38: TestAcc: 29.02%, TestLoss: 1.9541, TrainAcc: 84.19%, TrainLoss: 1.1288, Comm: 1113964.3KB, Cum: 42330642.5KB, Time: 33.8s                                           
Round 39: TestAcc: 22.46%, TestLoss: 2.0970, TrainAcc: 88.83%, TrainLoss: 1.0287, Comm: 1113964.3KB, Cum: 43444606.8KB, Time: 31.5s                                           
Round 40: TestAcc: 20.32%, TestLoss: 2.1481, TrainAcc: 84.38%, TrainLoss: 1.0762, Comm: 1113964.3KB, Cum: 44558571.1KB, Time: 35.0s                                           
Round 41: TestAcc: 23.84%, TestLoss: 2.0848, TrainAcc: 83.65%, TrainLoss: 1.2488, Comm: 1113964.3KB, Cum: 45672535.4KB, Time: 32.7s                                           
Round 42: TestAcc: 13.71%, TestLoss: 2.1281, TrainAcc: 85.84%, TrainLoss: 1.1562, Comm: 1113964.3KB, Cum: 46786499.6KB, Time: 33.1s                                           
